SMILES,pIC50,ChEMBL ID
CC(C)C[C@H](NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)CCCNS(=O)(=O)c1ccc(Oc2ccccc2)cc1)C(=O)N(C)[C@H](C(=O)N1CCC[C@H]1C(N)=O)C(C)C,7.657577319,CHEMBL5198135
CC(C)[C@@H]1C(=O)N(O)C(=O)CN1S(=O)(=O)c1ccc(Oc2ccccc2)cc1,7.638272164,CHEMBL1939846
CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(N3CCNCC3)cc12)C(=O)O,7.638272164,CHEMBL1935281
CC(C)OC(=O)Nc1ccc2c(c1)sc1cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc12,7.63638802,CHEMBL559583
C[C@]1(CS(=O)(=O)N2CCC(Oc3ccc(F)cc3)CC2)NC(=O)NC1=O,7.625251654,CHEMBL2409698
CC(=O)c1ccc(-c2ccc(-c3cc(C(=O)N[C@H](CC(=O)O)c4ccccc4)sc3F)cc2)cc1,7.619788758,CHEMBL1644430
CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)sc1cc(NC(=O)Oc3ccccc3)ccc12)C(=O)O,7.602059991,CHEMBL550984
CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)CCNS(=O)(=O)c1ccc(Oc2ccccc2)cc1)C(=O)N1CCC[C@H]1C(N)=O,7.602059991,CHEMBL5202634
CC[C@H](Cc1ccc(C(F)(F)F)cc1)C(=O)NC[C@@]1(C2CC2)NC(=O)NC1=O,7.585026652,CHEMBL4072836
CCCN([C@@H](C(=O)O)C(C)C)S(=O)(=O)c1ccc(-c2nc(-c3ccc(C)s3)no2)cc1,7.585026652,CHEMBL5434496
COc1ccc(-c2ccc(Sc3ccccc3C(CCC(=O)O)C(=O)O)cc2)cc1,7.585026652,CHEMBL4209100
CC(=O)N[C@@H](COCc1ccccc1)C(=O)N[C@H](CCc1ccccc1)C(=O)N[C@H](Cc1ccccc1F)C(=O)NO,7.555955204,CHEMBL4741404
CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)sc1cc(NC(=O)Oc3ccc(F)cc3)ccc12)C(=O)O,7.552841969,CHEMBL562114
Cc1ccc(S(=O)(=O)N2CCc3cc(O)ccc3C2C(=O)NO)cc1,7.537602002,CHEMBL147882
CC(C)[C@@H](NS(=O)(=O)c1ccc(-c2nc(-c3ccc(Cn4cc(CCCCCF)nn4)s3)no2)cc1)C(=O)O,7.537602002,CHEMBL5428131
CCOCCC1(Oc2ccc(Oc3ccc(-c4nnco4)cc3)cc2)C(=O)NC(=O)C(N)C1=O,7.537602002,CHEMBL183410
CC(=O)N[C@@H](COCc1ccccc1)C(=O)N[C@H](CCc1ccccc1)C(=O)N[C@H](Cc1cccc(F)c1)C(=O)NO,7.519993057,CHEMBL4764208
COc1ccc(S(=O)(=O)c2ccccc2CC(=O)NO)cc1,7.494850022,CHEMBL573714
COc1ccc(-c2ccc(Sc3ccccc3C3CCC(=O)N(O)C3=O)cc2)cc1,7.48148606,CHEMBL4203044
CSCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(N)=O)NC(=O)CCCCNS(=O)(=O)c1ccc(-c2ccccc2)cc1)C(=O)N1CCC[C@H]1C(N)=O,7.468521083,CHEMBL5185823
CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)sc1cc(NC(=O)NCc3ccccc3)ccc12)C(=O)O,7.467245621,CHEMBL563343
CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@H](CCc1ccccc1)C(=O)N[C@H](Cc1ccccc1)C(=O)NO,7.457174573,CHEMBL4780646
CC(=O)N[C@@H](COCc1ccccc1)C(=O)N[C@H](CCc1ccccc1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)NO,7.454692884,CHEMBL4742155
CC(=O)N[C@@H](COCc1ccccc1)C(=O)N[C@H](CCc1ccccc1)C(=O)N[C@H](Cc1cccc(C)c1)C(=O)NO,7.449771647,CHEMBL4745673
Cc1ccc(-c2noc(-c3ccc(S(=O)(=O)N(CCF)[C@@H](C(=O)O)C(C)C)cc3)n2)s1,7.443697499,CHEMBL5424250
CC(=O)N[C@@H](COCc1ccccc1)C(=O)N[C@H](CCc1ccccc1)C(=O)N[C@H](Cc1ccc(OC(C)=O)cc1)C(=O)NO,7.442492798,CHEMBL4757848
Cc1ccc(OC(=O)Nc2ccc3c(c2)sc2cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc23)cc1,7.440093375,CHEMBL549756
Cc1ccc(-c2noc(-c3ccc(S(=O)(=O)N(C)[C@@H](C(=O)O)C(C)C)cc3)n2)s1,7.431798276,CHEMBL5401833
CC(C)[C@@H](NS(=O)(=O)c1ccc2oc3ccccc3c2c1)C(=O)O,7.420216403,CHEMBL449228
